Author,Sample,Larger_Region,Region,Province,TAS_Description,Alkalinity,Age,Uncertainty,Method,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
Aviado_2015,NV-15B,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-74.6564,165.4094,42.02,3.16,12.15,11.71,9.84,10.82,0.18,1.52,3.61,0.76,,,,,,184,227,,388,132,93,,34,817,34,336,80,,,425,60,103,12.6,51,10.9,3.3,11,1.4,6.6,1.1,2.8,,2.5,0.4,7.9,5.9,,2.2,8.2,1.7,0.70287,0.51297,,,
Aviado_2015,NV-15,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,3,3,Stratigraphic,-74.6496,165.4015,40.92,3.5,12.06,12.61,9.86,9.08,0.19,1.37,3.43,1.29,,,,,,187,198,,461,111,102,,24,844,35,319,62,,,328,51,95,12.6,54,11.6,3.4,11,1.4,7,1.1,2.8,,2.5,0.4,7.7,4.8,,1.5,5.6,1.2,0.7034,0.51293,19.817,15.596,39.33
Aviado_2015,NV-14C,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-74.5917,164.816,44.66,2.73,15.96,10.86,9.57,5.97,0.18,1.23,3.55,0.66,,,,,,166,75,,281,182,84,,17,846,25,172,44,,,616,35,65,8.5,37,7.8,3.3,8,1,5,0.8,2.2,,2,0.3,4.1,3.4,,1.8,3.8,0.8,0.7033,0.51296,19.563,15.604,39.242
Aviado_2015,NV-14A,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-74.5749,164.8094,43.42,3.27,15.61,11.95,9.61,6.33,0.18,1.12,3.55,0.79,,,,,,180,85,,213,65,85,,18,839,30,201,52,,,307,40,74,9.6,41,8.9,2.9,9,1.2,5.7,1,2.6,,2.3,0.3,4.7,3.8,,1.1,4.1,0.8,0.70267,0.5129,19.673,15.603,39.251
Aviado_2015,NV-13A,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-74.5836,164.1811,43.19,2.91,13.48,11.48,11.25,8.95,0.17,0.77,2.66,0.69,,,,,,226,343,,193,57,79,,13,642,23,153,36,,,244,29,58,7.4,32,6.7,2.4,7,0.9,4.3,0.7,1.9,,1.7,0.2,3.1,2.5,,1.1,2.7,0.6,0.70338,0.51294,19.651,15.638,39.361
Aviado_2015,NV-12A,Australiasia_Antarctica,Antarctica,Ross_Island,Trachyandesite,Alkaline,3,3,Stratigraphic,-74.5,165,56.53,0.94,15.96,8.31,3.54,1.01,0.22,3.81,5.8,0.29,,,,,,0,4,,162,119,124,,78,433,53,538,121,,,1207,83,148,17.8,70,14.6,4.5,14,2,10.2,1.7,4.6,,4.6,0.7,12.4,8.7,,8.4,14.3,2.7,,,,,
Aviado_2015,NV-11B,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-74.3115,165.0148,44.96,2.65,16.51,10.95,9.71,4.98,0.19,1.12,3.58,1.06,,,,,,132,62,,282,198,89,,13,900,28,196,43,,,647,40,74,9.8,44,9.6,3.9,9,1.1,5.6,0.9,2.4,,2.1,0.3,4,3.3,,1.7,4,0.7,0.70394,0.51288,19.229,15.623,39.329
Aviado_2015,NV-6E,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,3,3,Stratigraphic,-71.6193,170.5561,39.25,3.55,12.56,11.99,10.09,9.21,0.16,0.86,3.53,0.68,,,,,,235,225,,435,226,75,,21,800,30,225,58,,,323,43,78,10.3,44,9.7,2.9,9,1.2,5.9,1,2.6,,2.4,0.3,5.6,4.4,,1.7,4.6,1,,,,,
Aviado_2015,VC-21,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.6935,170.5574,41.46,2.99,13.43,11.86,10.28,6.52,0.17,1.42,3.47,0.65,,,,,,240,218,,373,206,80,,75,695,30,311,68,,,419,49,84,10.6,44,9.1,2.8,9,1.2,5.7,1,2.5,,2.4,0.4,5.3,5.1,,1.9,6.4,2.3,,,,,
Aviado_2015,NV-4B,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.955,171.0915,42.94,2.67,12.79,11.18,10.38,10.7,0.18,0.94,2.98,0.54,,,,,,209,395,,411,101,78,,16,592,27,203,53,,,269,39,70,8.8,36,7.6,2.3,7,1,5.1,0.8,2.3,,2.1,0.3,4.6,3.8,,1,4.6,0.9,,,,,
Aviado_2015,VC-44,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,3,3,Stratigraphic,-73.149,167.1647,40.91,4.36,13.68,14.05,11.09,5.53,0.2,0.42,3.14,1.17,,,,,,291,10,,382,176,99,,12,843,34,193,47,,,425,45,82,11.4,51,11.1,3.7,10,1.4,6.8,1.1,2.9,,2.5,0.4,5,3.9,,1.1,4.2,1.8,0.70324,0.51289,19.924,15.6,39.493
Aviado_2015,VC-3,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-74.5,165,46.35,2.59,15.96,10.34,7.23,3.78,0.23,1.61,5.05,1.23,,,,,,99,4,,303,95,98,,21,848,43,359,102,,,576,76,136,17,69,13.7,3.9,13,1.7,8.1,1.4,3.7,,3.5,0.5,7.8,7.5,,3.3,9.3,2,,,,,
Aviado_2015,NV-3B,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.9333,171.1666,42.26,3.4,14.93,12.2,9.79,6.09,0.21,1.14,3.44,0.91,,,,,,215,35,,296,101,87,,20,925,28,217,61,,,371,47,83,10.7,46,9.6,3.1,9,1.2,5.6,0.9,2.4,,2.2,0.3,5.2,4.7,,1.6,5.5,1,0.70343,0.51282,20.028,15.658,39.916
Aviado_2015,NV-3I,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-71.9333,171.1666,45.95,2.44,16.99,10.02,7.81,3.51,0.22,1.85,5.31,1.21,,,,,,108,18,,411,264,95,,42,987,39,420,109,,,498,84,144,17.4,68,12.9,3.7,13,1.7,7.4,1.2,3.4,,3.3,0.5,8.6,8.3,,3.3,11.2,2.3,0.70212,0.51295,20.228,15.659,39.798
Aviado_2015,12.19-01-7,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,43.92,3.45,14.73,10.48,10.61,7.86,0.22,1.27,3.66,0.74,,,,,,248,237,,85,30,92,,28,1052,31,313,81,,,460,54,110,13.2,52,10.3,3.4,9,1.3,6.9,1.3,3.2,,2.4,0.4,7,5.4,,2.7,5.9,1.8,,,,,
Aviado_2015,12-19-01-5,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,42.45,3.98,14.4,11.42,10.32,7.44,0.22,1.39,3.14,0.78,,,,,,252,174,,56,21,94,,24,1255,28,272,85,,,584,53,108,12.8,50,9.7,3.3,8,1.2,6.3,1.1,2.8,,2.2,0.3,6.2,5.4,,3.1,5.6,1.7,,,,,
Aviado_2015,12-10-01-5,Australiasia_Antarctica,Antarctica,Ross_Island,Trachyte,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,64.23,0.16,16.74,3.33,0.92,0.04,0.15,5.19,7.04,0.02,,,,,,1,2,,0,2,167,,301,6,56,985,318,,,14,207,337,31.1,91,13.6,0.4,10,1.7,10.3,2.1,6.1,,6.4,1,24.3,23.2,,25.3,58.8,14.2,,,,,
Aviado_2015,12-19-01-3,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,43.8,3.18,14.69,10.67,9.95,8.53,0.21,1.51,3.43,0.93,,,,,,231,364,,134,40,91,,31,1094,30,231,71,,,513,53,107,12.9,50,9.8,3.4,8,1.2,6.6,1.2,3,,2.3,0.3,5.3,4.4,,2.4,5,1.4,,,,,
Aviado_2015,12-10-01-1,Australiasia_Antarctica,Antarctica,Ross_Island,Trachyandesite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,54.97,1.39,17.42,7.72,4.32,1.78,0.23,3.45,5.96,0.56,,,,,,20,2,,0,8,124,,80,654,4,457,130,,,1130,83,155,17.3,62,10.9,3.6,9,1.3,7.5,1.4,3.7,,3.2,0.5,9.8,7.8,,7.7,12,3,,,,,
Aviado_2015,12-10-01-2,Australiasia_Antarctica,Antarctica,Ross_Island,Basaltic Trachyandesite,Alkaline,3,3,Stratigraphic,-78.4331,163.5441,51.56,2.22,17.08,8.67,6.02,3.39,0.19,2.79,4.68,0.76,,,,,,116,22,,10,23,103,,76,774,34,381,103,,,806,80,149,16.7,60,10.9,3.3,9,1.3,7.2,1.3,3.5,,2.9,0.5,8.4,6.8,,8.1,11.3,2.8,,,,,
Aviado_2015,NV-5B,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,3,3,Stratigraphic,-71.3178,170.2651,40.48,4.05,15.43,12.43,10.01,5.24,0.21,1.75,4.05,1.12,,,,,,205,11,,547,272,97,,31,996,39,278,90,,,541,60,106,13.6,58,12.5,3.7,12,1.6,7.6,1.2,3.3,,3.1,0.4,6.3,6.7,,1.7,6.7,1.3,,,,,
