LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,AGE ESTIMATE (Ma),AGE ESTIMATE UNCERTAINTY (Ma),NUMERICAL (0) OR LABEL (1) FLAG
-74.4,-74.4,164.7,164.7,33.0,33.0,1.0
-74.4,-74.4,164.7,164.7,33.0,33.0,1.0
-74.35,-74.35,164.53,164.53,33.0,33.0,1.0
-74.35,-74.35,164.53,164.53,33.0,33.0,1.0
-74.55,-74.55,164.5,164.5,33.0,33.0,1.0
-74.4,-74.4,165.0,165.0,33.0,33.0,1.0
-74.6,-74.6,164.6,164.6,33.0,33.0,1.0
-71.62,-71.62,170.6,170.6,33.0,33.0,1.0
-71.62,-71.62,170.6,170.6,33.0,33.0,1.0
-71.88,-71.88,171.23,171.23,33.0,33.0,1.0
-72.97,-72.97,167.3,167.3,33.0,33.0,1.0
-72.47,-72.47,170.3,170.3,33.0,33.0,1.0
-71.88,-71.88,171.23,171.23,33.0,33.0,1.0
-71.88,-71.88,171.23,171.23,33.0,33.0,1.0
-78.4331,-78.4331,163.5441,163.5441,33.0,33.0,1.0
-78.4331,-78.4331,163.5441,163.5441,33.0,33.0,1.0
-78.4331,-78.4331,163.5441,163.5441,33.0,33.0,1.0
-78.4331,-78.4331,163.5441,163.5441,33.0,33.0,1.0
-78.4331,-78.4331,163.5441,163.5441,33.0,33.0,1.0
-78.4331,-78.4331,163.5441,163.5441,33.0,33.0,1.0
-71.3178,-71.3178,170.2651,170.2651,33.0,33.0,1.0
-76.1706,-76.1706,168.3791,168.3791,33.0,33.0,1.0
-76.1706,-76.1706,168.3791,168.3791,33.0,33.0,1.0
-76.1706,-76.1706,168.3791,168.3791,33.0,33.0,1.0
-76.1706,-76.1706,168.3791,168.3791,33.0,33.0,1.0
-76.1706,-76.1706,168.3791,168.3791,33.0,33.0,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-76.3,-76.3,-112.1,-112.1,1.29,1.29,1.0
-74.4,-74.4,164.7,164.7,33.0,33.0,1.0
-74.4,-74.4,164.7,164.7,33.0,33.0,1.0
-74.4,-74.4,164.7,164.7,33.0,33.0,1.0
-74.4,-74.4,164.7,164.7,33.0,33.0,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
-73.45,-73.45,165.5,165.5,12.805,10.225000000000001,1.0
