Latitude,Longitude,Age,Uncertainty
-74.6564,165.4094,3.0,3.0
-74.6496,165.4015,3.0,3.0
-74.5917,164.816,3.0,3.0
-74.5749,164.8094,3.0,3.0
-74.5836,164.1811,3.0,3.0
-74.5,165.0,3.0,3.0
-74.3115,165.0148,3.0,3.0
-71.6193,170.5561,3.0,3.0
-71.6935,170.5574,3.0,3.0
-71.955,171.0915,3.0,3.0
-73.149,167.1647,3.0,3.0
-74.5,165.0,3.0,3.0
-71.9333,171.1666,3.0,3.0
-71.9333,171.1666,3.0,3.0
-78.4331,163.5441,3.0,3.0
-78.4331,163.5441,3.0,3.0
-78.4331,163.5441,3.0,3.0
-78.4331,163.5441,3.0,3.0
-78.4331,163.5441,3.0,3.0
-78.4331,163.5441,3.0,3.0
-71.3178,170.2651,3.0,3.0
-71.3178,170.2651,3.0,3.0
-71.3178,170.2651,3.0,3.0
-71.3178,170.2651,6.76,0.05
-71.3178,170.2651,6.73,0.03
-71.3178,170.2651,3.0,3.0
-76.1706,168.3791,3.0,3.0
-76.1706,168.3791,3.28,0.04
-76.1706,168.3791,3.0,3.0
-76.1706,168.3791,3.38,0.04
-76.1706,168.3791,3.68,0.16
-76.3449,168.3856,0.13,0.024
-76.3449,168.3856,0.12,0.026
-76.7322,168.7641,1.0,0.05
-75.9754,168.2267,0.19,0.176
-75.9754,168.2267,3.0,3.0
-75.9754,168.2267,0.09,0.066
-75.9754,168.2267,1.93,0.04
-76.9825,167.489,1.92,0.04
-76.5785,166.7026,3.94,0.08
-76.5785,166.7026,3.0,3.0
-76.5785,166.7026,3.73,0.14
-76.5785,166.7026,3.0,3.0
-75.9682,168.6177,0.51,0.024
-76.68,-118.0,9.34,0.24
-77.15,-117.15,2.54,0.09
-76.85,-117.75,2.52,0.06
-76.85,-117.75,3.88,0.03
-76.85,-117.75,2.54,0.29
-76.85,-117.75,1.82,0.05
-76.85,-117.75,1.81,0.01
-76.8,-117.95,0.03,0.01
-76.8,-117.95,0.85,0.04
-76.8,-117.95,1.6,0.02
-76.71,-117.6,6.7,0.05
-76.71,-117.6,7.38,0.07
-76.71,-117.6,6.41,0.43
-77.3764,168.0969,1.25,0.75
-77.3664,168.3272,1.25,0.75
-77.5019,169.0542,1.25,0.75
-77.5058,168.7494,1.25,0.75
-77.5142,167.9628,1.25,0.75
-77.6414,168.5744,1.25,0.75
-77.5786,168.6897,1.25,0.75
-77.5128,169.3322,1.25,0.75
-77.46,169.2014,1.25,0.75
-77.4656,169.21,1.25,0.75
-77.5169,169.2689,1.25,0.75
-77.4972,169.2339,1.25,0.75
-77.4636,169.2394,3.5,0.5
-77.2469,166.7458,3.5,0.5
-77.3169,166.5397,3.5,0.5
-77.3025,167.1022,3.5,0.5
-77.3011,167.1028,3.5,0.5
-77.3011,167.1028,3.5,0.5
-77.7442,166.7669,0.9,0.6
-77.7358,166.8744,0.9,0.6
-77.8481,166.6814,0.9,0.6
-77.8481,166.6814,0.9,0.6
-77.8467,166.6997,0.9,0.6
-77.5797,166.2875,0.9,0.6
-77.4678,167.1181,0.9,0.6
-77.6414,168.5744,0.9,0.6
-77.5128,169.3322,0.9,0.6
-77.2469,166.7458,0.9,0.6
-77.3169,166.5397,0.9,0.6
-77.3011,167.1028,0.9,0.6
-77.8467,166.6997,0.9,0.6
-76.25,-112.0,0.1,0.1
-76.25,-112.0,0.1,0.1
-76.25,-112.0,0.1,0.1
-76.25,-112.0,0.1,0.1
-76.25,-112.0,0.1,0.1
-76.25,-112.0,0.066,0.0047
-76.25,-112.0,0.1,0.1
-76.25,-112.0,0.1,0.1
-73.43,-126.66,1.0,1.0
-73.43,-126.66,1.0,1.0
-75.35,-110.7,8.75,0.55
-75.35,-110.7,8.75,0.55
-75.35,-110.7,8.75,0.55
-75.35,-110.7,8.75,0.55
-75.35,-110.7,8.75,0.55
-75.35,-110.7,8.75,0.55
-75.35,-110.7,8.75,0.55
-75.35,-110.7,8.84,0.13
-75.35,-110.7,8.75,0.55
-76.104,169.211,0.515,0.055
-76.104,169.211,0.333,0.03
-76.104,169.211,0.568,0.05
-75.955,165.65,0.455,0.04
-74.232,164.717,0.278,0.03
-74.232,164.717,0.245,0.085
-74.232,164.717,0.245,0.085
-74.232,164.717,0.205,0.01
-74.232,164.717,0.245,0.085
-74.35,164.69,0.119,0.02
-75.5,165.0,1.253,0.09
-75.5,165.0,1.338,0.07
-75.5,165.0,1.312,0.09
-75.5,165.0,1.325,0.07
-78.54911667,164.53895,15.05,3.65
-78.37675,163.78955,3.0,3.0
-78.48835,164.3916667,3.0,3.0
-78.37678333,163.7947,3.0,3.0
-78.36896667,163.8091167,3.0,3.0
-78.38328333,163.88495,3.0,3.0
-78.37965,163.8932333,3.0,3.0
-78.39986667,163.8434833,3.0,3.0
-78.40098333,163.8372667,3.0,3.0
-78.39716667,163.8308,3.0,3.0
-78.37748333,163.7500833,3.0,3.0
-78.37271667,163.7008667,3.0,3.0
-78.35416667,164.1265667,3.0,3.0
-78.37596667,164.2323667,3.0,3.0
-78.50225,163.5329833,3.0,3.0
-78.50398333,163.75805,3.0,3.0
-78.45168333,163.8066333,3.0,3.0
-78.38796667,164.1225167,3.0,3.0
-78.37775,164.1287167,3.0,3.0
-78.38005,164.1517167,3.0,3.0
-78.40768333,164.2789833,3.0,3.0
-78.47483333,164.0127,3.0,3.0
-78.40926667,164.1223167,3.0,3.0
-78.46398333,163.6428833,3.0,3.0
-78.46791667,163.6437167,3.0,3.0
-78.4794,163.62295,3.0,3.0
-78.46971667,163.5764167,3.0,3.0
-78.46475,163.5804167,3.0,3.0
-78.495,164.0042667,3.0,3.0
-78.37168333,163.8043833,3.0,3.0
-78.37571667,163.8064,3.0,3.0
-78.37343333,163.8130833,3.0,3.0
-78.37348333,163.8282333,3.0,3.0
-78.38068333,163.8348167,3.0,3.0
-78.36788333,163.8965833,3.0,3.0
-78.39831667,163.8530833,3.0,3.0
-78.37795,163.7497833,3.0,3.0
-78.3741,163.7228167,3.0,3.0
-78.49266667,163.4381667,3.0,3.0
-78.39506667,164.2375,3.0,3.0
-78.37743333,164.2735333,3.0,3.0
-78.3812,164.2343167,3.0,3.0
-78.39005,164.2983,3.0,3.0
-78.39318333,164.2980333,3.0,3.0
-78.38211667,164.2910833,3.0,3.0
-78.38225,164.2383,3.0,3.0
-78.3787,164.2296333,3.0,3.0
-78.37416667,164.2198667,3.0,3.0
-78.3956,164.2099333,3.0,3.0
-78.35361667,164.1068667,3.0,3.0
-78.38105,164.1624833,3.0,3.0
-78.38213333,164.1908333,3.0,3.0
-78.3986,164.2721,3.0,3.0
-78.40768333,164.2789833,3.0,3.0
-78.40683333,164.3197333,3.0,3.0
-78.54328333,164.5057,3.0,3.0
-78.54328333,164.5057,3.0,3.0
-78.54623333,164.6059,3.0,3.0
-78.5392,164.5858833,3.0,3.0
-78.53378333,164.3795,3.0,3.0
-78.62818333,164.0967167,3.0,3.0
-78.49078333,164.3891167,3.0,3.0
-78.41456667,164.20225,3.0,3.0
-78.47071667,163.9594667,3.0,3.0
-78.45753333,164.0264667,3.0,3.0
-78.44675,164.1921167,3.0,3.0
-78.45316667,164.1825167,3.0,3.0
-78.45798333,164.1420167,3.0,3.0
-78.40688333,164.05675,3.0,3.0
-78.40658333,164.4159167,3.0,3.0
-78.45186667,163.5425833,3.0,3.0
-78.46501667,163.5854333,3.0,3.0
-78.3675,163.8040333,3.0,3.0
-78.39835,163.8279167,3.0,3.0
-78.43633333,164.2232,3.0,3.0
-78.43406667,164.4413167,3.0,3.0
-78.34111667,164.1329333,3.0,3.0
-76.2,-132.5,0.05,0.05
-76.2,-132.5,0.05,0.05
-75.9,-132.2,8.66,0.0
-75.9,-132.2,8.66,0.0
-76.6,-136.0,5.0,5.0
-76.55,-132.6,0.49,0.0
-75.217,-133.66,9.97,0.0
-75.417,-132.5,0.6,0.0
-75.75,-129.1,5.0,5.0
-73.43,-126.66,2.0,0.0
-73.43,-126.66,0.05,0.05
-75.33,-110.7,0.9,0.0
-67.0,-68.0,3.5,3.5
-67.0,-68.0,3.5,3.5
-67.0,-68.0,3.5,3.5
-67.0,-68.0,3.5,3.5
-67.0,-68.0,3.5,3.5
-67.0,-68.0,3.5,3.5
-65.0,-60.0,2.5,2.5
-65.0,-60.0,2.5,2.5
-65.0,-60.0,2.5,2.5
-65.0,-60.0,2.5,2.5
