Age(Ma) No. Mean Median L_Quart U_Quart
21.25 10 0.0742741 0.0826501 0.069588725 0.08921315
23.75 6 0.0701913 0.07722595 0.06750475 0.091889425
41.25 6 0.0864981 0.078404 0.064113575 0.104476625
68.75 7 0.070165 0.0633464 0.05435665 0.072544
71.25 12 0.0745928 0.0748274 0.068603025 0.076653875
76.25 9 0.150877 0.0629938 0.0530254 0.0722054
78.75 8 0.059726 0.05684585 0.042219175 0.085505375
96.25 6 0.0639903 0.06244405 0.057049225 0.068079325
111.25 7 0.0625043 0.0612344 0.0419477 0.0706027
118.75 8 0.0602971 0.05767745 0.052801575 0.0661605
123.75 10 0.0638602 0.06080995 0.055057325 0.069062175
