Age(Ma) No. Mean Median L_Quart U_Quart
6.25 14 0.161274 0.1453925 0.13296275 0.16451075 2.5
8.75 30 0.165943 0.1596 0.13139625 0.17880825 2.5
11.25 20 0.144196 0.1391895 0.11551125 0.15629925 2.5
13.75 24 0.126056 0.121231 0.10212125 0.13622675 2.5
16.25 20 0.120654 0.104512 0.06709945 0.129281 2.5
18.75 20 0.100369 0.1030995 0.077755225 0.11562075 2.5
21.25 42 0.0879872 0.08582925 0.073943325 0.1033055 2.5
23.75 12 0.0903937 0.105451 0.079323725 0.112855 2.5
26.25 21 0.115515 0.0953407 0.0815245 0.122454 2.5
28.75 16 0.0810494 0.07958815 0.07405645 0.099435175 2.5
31.25 20 0.101618 0.09951415 0.086125275 0.10823325 2.5
33.75 39 0.106402 0.094833 0.0778012 0.115701 2.5
36.25 20 0.0845171 0.08158155 0.0674524 0.097592725 2.5
38.75 14 0.0756811 0.075744 0.0727375 0.08128095 2.5
41.25 13 0.072611 0.0700613 0.0642855 0.079566 2.5
43.75 10 0.0656193 0.06466905 0.059532125 0.072287825 2.5
46.25 9 0.0720156 0.0659462 0.0521699 0.08344 2.5
48.75 17 0.0694574 0.070604 0.0585457 0.0761163 2.5
51.25 27 0.0791846 0.0721196 0.05026155 0.07944695 2.5
53.75 25 0.0636543 0.0623633 0.0568501 0.07068 2.5
58.75 6 0.0582289 0.0592863 0.0517444 0.065372075 2.5
61.25 10 0.0570538 0.06259085 0.043501775 0.066543825 2.5
63.75 8 0.0620369 0.0507553 0.03568315 0.06550975 2.5
66.25 12 0.0543276 0.05949725 0.035072175 0.071354025 2.5
68.75 23 0.0572867 0.0583946 0.0454012 0.0661113 2.5
71.25 25 0.0708138 0.0524566 0.0419106 0.0899249 2.5
73.75 31 0.057373 0.0531805 0.04341605 0.0715851 2.5
76.25 35 0.0651275 0.059098 0.05055455 0.0717681 2.5
78.75 30 0.0618927 0.0628919 0.04461605 0.074491225 2.5
81.25 26 0.0688541 0.0577049 0.047442625 0.092228025 2.5
83.75 38 0.0673383 0.056972 0.0492064 0.06918025 2.5
86.25 38 0.058951 0.0544834 0.04545385 0.0701781 2.5
88.75 39 0.0708972 0.0568572 0.04914705 0.07062285 2.5
91.25 40 0.0565349 0.0574556 0.050581625 0.067877075 2.5
93.75 31 0.054632 0.0591613 0.0504041 0.0641403 2.5
96.25 41 0.0630679 0.057946 0.0488002 0.0671777 2.5
98.75 33 0.0608396 0.0581598 0.0504503 0.0671075 2.5
101.25 35 0.0579596 0.0550305 0.04583665 0.06522635 2.5
103.75 25 0.0531457 0.0519934 0.0477885 0.0618925 2.5
106.25 24 0.0542727 0.05298125 0.039861675 0.05852815 2.5
108.75 28 0.0572881 0.0578755 0.048743025 0.0643286 2.5
111.25 24 0.0591765 0.05495775 0.04483325 0.076164175 2.5
113.75 28 0.0600244 0.06217115 0.0454197 0.07019925 2.5
116.25 31 0.0558515 0.0549951 0.0471974 0.0678787 2.5
118.75 39 0.0536528 0.0524733 0.0478697 0.05565135 2.5
121.25 23 0.0610652 0.0552997 0.05037655 0.06063135 2.5
123.75 32 0.0581949 0.0570447 0.052205775 0.061886325 2.5
126.25 12 0.055401 0.0557407 0.04968805 0.0625432 2.5
128.75 8 0.0603188 0.05820415 0.04888705 0.06481355 2.5
138.75 8 0.0588657 0.0518957 0.0502285 0.06091355 2.5
141.25 12 0.047776 0.04922475 0.04277655 0.052690325 2.5
143.75 6 0.050374 0.0514991 0.04924505 0.0531929 2.5
146.25 14 0.0524483 0.05399285 0.0515214 0.0556064 2.5
148.75 16 0.063256 0.05052005 0.048121275 0.057501975 2.5
151.25 10 0.0570624 0.05620595 0.052216275 0.061647975 2.5
153.75 8 0.0589228 0.0476268 0.04457725 0.07372165 2.5
156.25 7 0.0414433 0.0475392 0.02528755 0.05826565 2.5
163.75 15 0.0546896 0.0512252 0.0439363 0.0654231 2.5
166.25 10 0.0514599 0.0494355 0.040106975 0.05408005 2.5
171.25 11 0.0525355 0.0549311 0.04375195 0.05611415 2.5
173.75 9 0.0651222 0.0639571 0.0506016 0.0757066 2.5
176.25 8 0.0536346 0.05345065 0.049396775 0.055852625 2.5
181.25 6 0.0609009 0.0624244 0.0497732 0.07134765 2.5
183.75 8 0.0523067 0.052481 0.047985525 0.0556721 2.5
186.25 10 0.0556617 0.0520359 0.046074825 0.060934575 2.5
188.75 8 0.0531996 0.0515926 0.0504645 0.05541675 2.5
191.25 6 0.0572616 0.04936225 0.04842415 0.062544775 2.5
193.75 14 0.0594887 0.05397815 0.050328225 0.069825375 2.5
196.25 13 0.0821282 0.072299 0.0623196 0.0992425 2.5
198.75 9 0.0568896 0.0541563 0.0466167 0.0596784 2.5
