Age(Ma) No. Mean Median L_Quart U_Quart
12.9 1 0.13905 0.1369 0.1347 0.1434 2
13.75 6 0.106336 0.108267 0.10205625 0.108717 2.5
21.3 1 0.1197 0.1189 0.1156 0.1238 2
22.8 1 0.1142 0.1144 0.1111 0.1173 2
24.6 1 0.1076 0.1077 0.1055 0.1097 2
53.75 7 0.0659555 0.0754414 0.0514878 0.08086255 2.5
56.25 6 0.0763299 0.0713228 0.0650831 0.084616475 2.5
58.75 9 0.0717342 0.0673311 0.042981 0.0727267 2.5
63.75 8 0.0864082 0.07126995 0.065449275 0.0796136 2.5
66.25 29 0.0708341 0.0631477 0.0502912 0.0676475 2.5
68.75 34 0.0705058 0.06651045 0.060322625 0.0774912 2.5
71.25 31 0.062955 0.0679499 0.05028435 0.07392005 2.5
73.75 17 0.0790541 0.0694916 0.0542756 0.0783473 2.5
76.25 13 0.125175 0.0700863 0.0552898 0.140869 2.5
78.75 17 0.0846111 0.0663229 0.0596809 0.0841355 2.5
81.25 11 0.0761971 0.0649935 0.0572999 0.0755553 2.5
83.75 9 0.0625939 0.0570281 0.048722 0.0725172 2.5
86.25 9 0.057459 0.0574848 0.0550991 0.0635898 2.5
88.75 15 0.0593584 0.0479912 0.0458739 0.06533605 2.5
91.25 13 0.0532392 0.0485454 0.0380387 0.0573532 2.5
93.75 7 0.0641343 0.061307 0.05777995 0.0736323 2.5
96.25 6 0.0776079 0.0668518 0.063402875 0.0854766 2.5
101.25 8 0.0597522 0.05836985 0.05239545 0.06786195 2.5
103.75 12 0.0698575 0.0556377 0.0489613 0.067420075 2.5
113.75 7 0.0838699 0.0600067 0.0538232 0.10708355 2.5
116.25 7 0.0591198 0.0578053 0.0359265 0.0683885 2.5
118.75 15 0.0529601 0.0488236 0.0434744 0.06508185 2.5
121.25 11 0.0566031 0.0482685 0.0457585 0.069193 2.5
123.75 11 0.054208 0.0559184 0.04478865 0.06685545 2.5
126.25 9 0.0679872 0.0525543 0.0452047 0.0619861 2.5
128.75 8 0.046422 0.04839395 0.04369275 0.05160355 2.5
156.25 9 0.0773129 0.0837507 0.062437 0.0910396 2.5
158.75 7 0.0742274 0.0841192 0.05728915 0.0925335 2.5
