Age(Ma),No.,Mean,Median,L_Quart,U_Quart
1.4,1,0.35955,0.327,0.2974,0.4217
3.5,1,0.2539,0.2321,0.2096,0.2982
6.5,1,0.21035,0.2014,0.1446,0.2761
8.75,17,0.129259,0.133265,0.0901448,0.160582
11.25,6,0.068302,0.0389879,0.027942975,0.11148175
13.75,6,0.0579824,0.058365,0.044350925,0.074291875
16.25,10,0.109727,0.1222425,0.06143025,0.13834675
18.2,1,0.12015,0.1204,0.115,0.1253
19.8,1,0.11025,0.1097,0.1075,0.113
21.25,28,0.0596157,0.0654125,0.034182425,0.08798425
26.25,11,0.0717378,0.0789299,0.04970625,0.09059715
28.75,9,0.0840261,0.0782865,0.0626956,0.0904456
33.75,6,0.0657589,0.06789085,0.025889,0.07770615
36.25,8,0.032863,0.01858985,0.0155081375,0.038905625
38.75,7,0.058879,0.056619,0.04533995,0.0803017
66.25,10,0.0505796,0.05294135,0.045004025,0.0633497
68.75,8,0.0638726,0.0573831,0.04438895,0.0749518
71.25,9,0.0605909,0.0653989,0.0604718,0.0674946
73.75,9,0.0562072,0.0604802,0.0542574,0.0652909
76.25,9,0.0999283,0.0566776,0.0542594,0.0797417
78.75,7,0.0603851,0.0633796,0.05394815,0.06644665
81.25,17,0.0573148,0.0585148,0.0503791,0.0603245
83.75,42,0.0604431,0.0597564,0.053508525,0.06717465
86.25,20,0.0644573,0.06176375,0.053617375,0.0690545
88.75,22,0.0572489,0.0565499,0.0451621,0.0725675
91.25,10,0.0695176,0.06627365,0.048794025,0.07785065
93.75,17,0.0568598,0.0551511,0.0502901,0.0692838
96.25,20,0.058129,0.05335745,0.048832075,0.058552775
98.75,29,0.0541708,0.0565285,0.0542679,0.060502
101.25,14,0.0685912,0.0572694,0.04923485,0.08250975
103.75,22,0.0605257,0.06002985,0.05447035,0.065780525
106.25,50,0.0563409,0.05429015,0.0502299,0.060254325
108.75,37,0.0588921,0.0572842,0.0508977,0.0623934
111.25,24,0.0583495,0.05852505,0.056057675,0.059692275
113.75,12,0.0469535,0.0502227,0.032186925,0.062544425
116.25,13,0.0470175,0.0485475,0.0354053,0.057437
118.75,20,0.0603293,0.0547975,0.0454407,0.059819075
121.25,26,0.0585675,0.0528034,0.046357975,0.063322275
123.75,25,0.0538741,0.0541774,0.0485818,0.0581963
126.25,21,0.0529128,0.0514464,0.0463522,0.058395
128.75,42,0.0508866,0.046595,0.0347476,0.05488165
131.25,32,0.052801,0.0521788,0.0439551,0.062100625
133.75,35,0.0514785,0.0512926,0.0435268,0.05767825
136.25,21,0.0610409,0.0511706,0.0421471,0.0592079
138.75,15,0.0513658,0.04833,0.04151645,0.0596934
141.25,20,0.0454066,0.04543415,0.03882505,0.05239465
143.75,20,0.0562801,0.05537905,0.0423965,0.066579475
146.25,17,0.0519926,0.0498171,0.0461659,0.0547253
148.75,16,0.0519799,0.05076765,0.0457026,0.05234655
151.25,11,0.0524818,0.0484552,0.04381495,0.0699518
153.75,8,0.0616983,0.0549116,0.049509725,0.0595951
156.25,8,0.0591786,0.04891965,0.046929725,0.0648775
158.75,10,0.0485403,0.0480023,0.0429498,0.052205775
163.75,7,0.0600669,0.0480086,0.04742645,0.060344
