Lon Lat HF(mW/m2) Age(Ma) Seds(m)
144.8183 89.615 78.792 43.2501224947 2608.87
146.1083 89.2217 102.261 42.6812930528 2225.69
154.8233 87.785 69.0131 44.3459521828 986.502
162.4217 86.4617 59.1419 45.816794529 1213.89
158.2667 86.3583 56.795 45.2373809319 1149.54
160.8133 86.0267 58.9993 45.6999039192 1475.33
161.5583 86 57.8364 45.8160958824 1457.44
131 85.5867 42.5784 52.7975279846 2032.9
26.0458 85.3717 91.2978 10.2359318826 473.135
110.25 85.0833 34.5417 19.7062269964 669.063
28.7857 85.05 28.0442 17.562329608 782.91
164.8333 84.7933 70.3441 46.6230810738 3784.6
163.3167 84.3533 79.6053 46.520974556 4133.84
116.2367 83.2617 186.923 1.42918281641 802.155
116.3933 83.2617 151.803 1.95429458855 804.208
116.3833 83.25 171.695 1.76568424487 804.342
116.65 83.2333 155.422 2.46310072088 806.595
116.6667 83.25 189.301 2.71519606447 806.269
117.7167 83.2333 76.5726 6.01830967813 804.454
117.95 83.2333 43.1008 6.7523104198 804.401
118.25 83.2333 136.216 7.63735649776 805.122
118.2617 83.2367 119.264 7.70640823905 805.066
118.7 83.2167 134.841 9.00337894058 799.556
120.2333 83.2 14.3632 14.1034406919 922.518
158 83 66.2604 64.0162353516 5445.53
32.1365 82.934 69.2261 51.7025159042 4649.36
6.7467 82.795 111.749 25.7118862908 2404.66
6.455 82.5017 65.187 28.7694177744 2464.65
21.651 82.3947 26.4156 49.7032515408 3930.53
6.185 82.3183 64.2098 30.3380944632 2331.15
-7.0833 82.0023 193.242 8.56536583688 796.938
32.2232 82.0223 100.675 43.5870819796 3687.5
167 81.8333 88.3605 48.2544159889 6430.17
168 81.5833 87.382 48.5285976257 6270.74
0.8968 81.4033 143.13 21.5652617046 1100.91
15.2843 81.3252 80.2403 29.0832496431 2965.18
2.6655 80.051 111.918 24.6105399592 1253.81
3.105 80.1025 99.4393 28.4642748141 1310.83
-2.363 79.9967 500.825 17.0655465833 1267.85
2.0195 79.9988 115.1 18.6696065492 978.335
5.456 79.9606 139.171 47.4468924179 2921.25
-1.1747 79.8525 157.367 14.3449769124 637.952
1.3915 79.883 134.663 8.09362016981 635.549
1.2185 79.6525 178.773 8.06114393079 519.659
1.3295 79.7222 174.274 8.17146313144 559.326
0.7885 79.2608 239.277 15.4196615482 427.267
1.756 79.2523 151.787 9.83607324081 408.652
4.0503 79.3255 209.773 1.89428240814 538.486
5.1888 79.2643 144.803 5.76430119817 1101.65
1.5053 79.095 138.518 15.9528092232 402.676
5.19835 79.14085 140.261 6.68472471144 936.46
6.0033 79.115 126.983 9.82410614381 1525.36
6.1237 79.1275 170.598 11.2509563135 1674.28
3.995 79.0063 176.711 1.89428902822 443.89
5.0302 79.0243 129.178 6.98493627348 755.803
5.9683 79.0197 115.941 11.3745478841 1304.63
7.0003 79.0328 122.212 26.9902768074 2172.2
1.464 78.8252 105.682 21.8997068906 411.608
1.8528 78.7518 143.746 20.9509597473 462.799
2.4782 78.8345 101.446 16.5121932545 451.245
3.4783 78.8357 155.71 12.1979366236 439.341
3.9868 78.8343 134.06 8.58439605378 506.672
4.4988 78.8278 130.53 5.0164373972 603.069
4.633 78.833 86.3857 4.73443407552 616.146
5.0128 78.832 143.656 5.07810239273 639.298
5.5013 78.8322 103.293 7.92202645632 727.443
5.9283 78.7783 113.346 17.5493587845 501.393
5.9753 78.838 95.0511 20.8396679559 996.492
6.4913 78.8357 130.521 21.6114830688 1250.91
7.0088 78.8328 132.745 21.8019559736 1544.72
7.5006 78.79135 128.038 21.3181916609 1466.93
8.0204 78.79625 117.563 21.9604041921 1466.28
5.4108 78.695 123.155 5.70757584972 559.297
6.49 78.6827 123.471 14.4323530525 426.549
6.7393 78.6972 126.202 16.5564829718 675.872
6.9757 78.7028 126.712 17.8461177819 1099.64
7.4803 78.7302 113.022 19.9878590868 1237.18
8.1813 78.7492 72.3704 21.3070102594 1220.24
3.07245 78.5822 144.675 14.1265657587 608.957
3.4728 78.5548 139.982 11.5727996341 686.087
3.9382 78.5508 141.418 9.47497124168 755.885
4.4958 78.5918 156.585 8.25871951188 892.043
5.028 78.6197 179.205 6.73509481115 883.183
5.4885 78.635 166.274 6.10021004748 467.956
7.1178 78.5903 96.1736 16.277828253 552.038
2.001 78.4692 113.746 22.8125621664 612.998
2.5048 78.5087 117.183 19.6951121809 693.947
2.9942 78.53 117.497 15.4695638487 641.326
1.12305 78.43415 113.268 28.2030305274 505.927
1.3606 78.3852 80.276 27.4362623305 540.52
5.4043 78.4428 159.221 6.94212356616 970.734
1.4609 78.338 81.5245 27.3746182074 572.809
2 78.3167 84.9338 23.6614898853 571.535
4.0348 78.3075 109.166 12.2501179944 503.586
4.3683 78.3038 124.412 10.720412049 635.8
4.7518 78.3008 121.908 9.15625762436 901.233
5.0755 78.3057 95.8688 7.75221451045 1147.69
5.426 78.3112 213.803 7.13195207306 1159.75
5.7545 78.3023 145.982 7.13217871236 1015.22
6.1168 78.3008 178.471 7.55286606445 781.107
6.4177 78.2967 147.232 8.04413215316 606.928
7.1868 78.3413 314.282 9.84006826564 517.586
7.786 78.3043 271.697 12.6986655564 731.551
8.8403 78.2878 107.578 15.2013557061 703.323
4.0022 78 102.32 14.0751599178 400.924
5.5127 78.0012 203.705 8.29683784989 1032.49
6.002 78.0032 191.255 7.91486061989 1311.58
6.3737 78.0035 208.169 7.71499493338 990.227
6.7512 77.995 252.844 8.18330412064 577.296
7.95535 77.9979 392.512 10.516679899 441.706
8.9008 78.025 125.242 11.3065400658 779.439
9.154 78.005 151.736 11.8141802082 1301.46
9.31825 78.0125 187.242 12.2419405326 1694.74
0.2 77.95 91.9894 25.9349994659 847.329
4.1333 77.8667 107.322 14.194462104 750.305
9.07785 77.34075 207.351 8.43270834732 1165.13
-0.2667 77 87.6911 31.0300806866 1604.21
9.08 77.0067 123.174 7.84408783064 1158.93
-1.3333 76.8167 87.9596 35.8277722724 1955.04
11.25 76.6 92.9552 16.3199996948 1856.95
1.4528 76.4458 147.843 27.4901243719 986.077
2.25 76.4167 103.091 21.4592400379 581.017
9.1167 76.2833 130.012 8.99657900271 716.374
-5.1167 75.9333 72.1196 51.7708834314 788.073
-7.5 75.5333 368.304 51.8088135605 656.008
12.9433 75.4583 82.824 30.6387938422 4082.07
12.8928 75.3502 107.98 31.7061405487 3747.97
13.031 75.3622 124.451 32.0601698093 4127.25
13.20615 75.3751 125.399 33.078514252 4588.29
13.3973 75.3845 120.428 34.3473502159 5062.87
13.6488 75.3993 121.636 34.3629803683 5690.29
13.8093 75.4268 130.335 34.2230324878 6115.34
13.9883 75.4322 223.946 34.2578209255 6523.11
14.2367 75.4417 36.6012 34.0990059124 7024.75
11.9917 75.2727 74.4479 25.3599216442 1865.61
12.305 75.315 78.0065 27.9196497583 2353.34
12.63 75.3313 102.813 30.5547535093 3039.22
-10.8667 75.1667 75.8704 52.2613150726 3007.06
10.7212 75.1677 104.262 19.1299598989 1115.88
11.353 75.2238 107.157 22.8394871482 1293
9.544 75.0567 195.784 11.3865346368 884.952
10.146 75.1127 139.385 13.5340181179 915.014
-10.8333 74.9833 118.792 51.5183196095 2342.73
-7.5 75 82.2536 50.1790466309 931
14.6733 74.8417 98.4685 34.8949338811 6704.58
11.44 74.65 84.2474 20.7400005341 1301.81
-13.117 74.517 173.008 51.7172066933 3462.45
12.2367 74.4067 95.3407 26.4590023281 2205.3
12.7283 74.395 89.4704 27.9623917133 2970.4
-69.6067 74.0167 58.7519 42.6804367947 6388.25
-10.75 74 52.8905 48.4407119751 968
-68.3 73.8583 61.9722 43.1981136017 6113.98
-0.1 73.817 51.0533 25.8996614647 517.954
0.1 73.8 51.3013 25.0208740234 568.52
17.3678 73.8194 101.932 35.0701590271 5925.02
10.1917 73.6567 127.125 7.42355893953 1985.11
-13.6667 73.5333 47.162 49.0135187083 1200.2
-0.833 73.483 127.431 22.4138638664 415.457
8.8767 73.5133 169.939 2.78439128492 486.213
-69.5083 73.375 72.7796 35.2394486408 6178.37
13.7533 73.3717 99.4256 30.076117456 4986.49
12.483 73.333 163.553 20.0193215057 3603.78
-70.1667 73.1667 64.2855 41.0307930743 5813.87
-70.1167 73.1583 67.1533 41.0453756822 5803.16
13.765 73.2083 99.4338 28.0775699217 5000.24
-70.1333 73.145 61.1181 41.3318358158 5775.28
-68.675 72.9917 74.4609 39.7501886587 5712.02
-13.5 73.0333 47.1413 45.9428726768 1155.39
-7.4333 72.9667 211.484 31.5753857459 1266.71
-6.9833 72.9667 104.788 30.4391082051 1332.27
-1.6667 73.0333 56.1421 17.224921693 400.4
8.5933 73.0117 132.717 7.96233613911 1050.82
8.78 73.0133 170.958 8.53365263319 1177.36
10.0817 73.0067 114.222 11.8263818326 2548.5
13.9717 72.9983 75.9899 27.6928291157 5494.22
14.14 72.9917 74.7097 29.00827472 5925.75
14.375 73 60.2342 31.3000001907 6456.98
14.0067 72.8317 118.967 26.1914618343 5606.07
13.9983 72.665 99.2202 27.2290979376 5631.84
-69.7333 72.6283 43.5253 49.7078724316 4719.98
-10.4 72.5167 64.6475 33.5583657227 600.092
-7.5667 72.5 118.588 24.4998738594 591.619
14.0017 72.5017 106.148 29.2755351596 5730.68
15.72485 72.4635 69.06 37.8920834672 9537.99
-13.65 72.4333 73.9264 38.8796899147 408.598
14.7648 72.3945 102.573 33.0657257735 7484.32
15.0093 72.3532 215.421 33.6731253023 7858.74
15.2557 72.3945 225.213 33.7965033266 8339.41
15.50475 72.4216 128.59 34.6649285947 8948.09
14.055 72.335 108.993 30.60771595 6008.1
14.7583 72.29 94.833 33.7888897694 7458.38
8.5833 72.1833 103.454 18.5437679406 2184.78
14.0033 72.1633 104.792 32.2097401926 6035.48
14.0602 72.1753 99.6027 32.0610583387 6159.98
14.5212 72.2497 97.6594 33.2156088861 7089.01
-9.0667 72.0667 90.4382 22.4391615264 455.253
13.6037 72.0923 95.1752 32.5372486946 5205.35
13.1238 72.0072 98.4153 32.8942708415 4506.47
14.005 71.9967 110.974 34.0716484184 6197.9
14.7283 72.0042 447.185 34.9746760446 7253.48
14.7642 71.9893 99.1609 35.1281248074 7265.87
14.9067 71.98165 123.565 35.8663177632 7345.09
12.6757 71.9167 85.2534 33.0366627733 3982.12
14.0667 71.94 110.339 34.6103759117 6360.08
14.8453 71.9481 97.07 35.6647100008 7264.28
12.2208 71.8305 91.622 33.3966187123 3571.27
13.8083 71.8383 93.031 35.2806745983 5975.8
11.5925 71.7307 77.9897 33.4024834343 3222.5
13.434 71.6982 82.0276 35.955960162 5477.58
13.5325 71.71835 99.2849 35.9266105958 5634.25
13.65 71.675 81.1355 36.5062046051 5871.65
13.48 71.52 76.7525 37.5207762146 5702.88
13.3517 71.3617 77.7751 38.729806963 5441.95
12.0667 71.3167 80.6496 37.634684683 3446.27
-17.8167 71.15 158.067 12.1811070819 1101.95
13.1683 71.21 72.3412 39.890705957 5016.12
6.6833 70.9833 129.783 34.1123411234 1735.45
12.975 71.0467 71.1308 41.247459445 4561.48
-4.9167 70.9 153.016 7.35815160179 407.608
9.3833 70.9333 63.7106 38.1162024373 2224.28
12.835 70.8967 73.1601 42.666577821 4226.27
-18.3167 70.8 119.899 13.1566668568 1181.4
12.665 70.7333 67.3659 44.04538367 3863.61
-17.93685 70.49675 133.759 10.7551070014 678.679
15.145 70.4783 85.4707 49.3843915508 3661.12
14.7833 70.4 99.3195 49.6763151512 3500.71
16 70.367 74.582 50.57277565 4335.87
-9.5333 70.3167 86.1184 27.4628947873 635.824
-7.6337 70.1567 87.9354 21.5986218262 1960.04
-7.3333 70.15 93.6755 21.1561539659 2199.01
-7.1317 70.153 65.965 20.6589237441 2217.2
-1.8167 70.1833 113.844 22.859533245 623.548
-6.6387 70.1303 79.5916 20.1832841107 1416.39
-6.2353 70.11 91.8176 20.0605822893 1378.8
-9.3118 69.5827 86.7986 27.8614704486 429.065
-7.5053 69.5835 51.071 30.1910413063 1125.95
2.5 69.65 79.566 40.8620948792 726.4
-7.0473 69.448 77.6127 32.5230013237 1449.6
-4.4 69.3833 110.465 31.0420542488 699.897
-11.395 69.253 102.476 21.1030411062 508.287
-10.6813 69.333 112.558 22.9244033841 490.723
-10.001 69.3368 95.0332 25.3119497141 404.773
-6.4777 69.3325 65.4569 34.5665447314 1503.22
8.983 69.283 12.1427 51.6641325821 1749.99
-12.0707 69.1828 122.993 19.3250667839 543.882
-5.9568 69.2073 68.2023 36.3198721527 1415.55
-6.5882 69.0683 71.6821 40.7213653569 1779.31
-5.288 69.0517 73.7213 37.4990464348 1220.76
-12.2237 69.0025 141.576 19.8275604749 606.14
-11.6628 68.918 115.259 21.8866673274 646.461
