Data Number,Codes,Site Name,Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites,Year of Pub.,Reference,Comments,,
6,,MP-21,20.8,-159.7,-4500,,,,65,,0.75,,,49,1,1952/1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
7,,MP-32,18.3,-173.3833,-3900,,,,35,,0.92,,,32,1,1952/1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,*,Bullard probe
8,,MP-35-2,19.4667,-174.5833,-4900,,,,62,,0.84,,,52,1,1952/1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,*,Bullard probe
9,,MP-36,16.75,-176.4,-5040,,,,66,,0.75,,,50,1,1952/1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,*,Bullard probe
10,,MP-38,19.0333,-177.3167,-4750,,,,69,,0.67,,,46,1,1952/1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,*,Bullard probe
11,,STN-1,32.5833,-132.5,-4000,,,,67,,0.75,,,50,1,1952/1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,*,Bullard probe
12,,CAP-2B,0.6667,169.2833,-4310,,,,76,,1.04,,,79,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
13,,CAP-5B,-9.0667,174.85,-5000,,,,72,,0.78,,,57,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
14,,CAP-9B,-18.9833,177.6,-2700,,,,63,,1,,,63,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
15,,CAP-10B,-21.9333,178.55,-3900,,,,125,,0.87,,,108,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
16,,CAP-31B,-17.4667,-158.6667,-4880,,,,66,,0.77,,,66,1,1952/1958,Maxwell1958; Stein&Abbott1991; Bullard_etal1958,Maxwell1958; Revelle&Maxwell1952; Bullard_etal1958,*,Bullard probe
17,,CAP-33B,-12.8,-143.55,-4300,,,,15,,0.72,,,15,1,1952/1958,Maxwell1958; Stein&Abbott1991; Bullard_etal1958,Maxwell1958; Stein&Abbott1991; Bullard_etal1958,*,Bullard probe
18,,CAP-40B,-14.75,-112.1833,-3020,,,,215,,1.02,,,220,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
19,,CAP-48B,5.8667,-123.9167,-4100,,,,73,,0.95,,,69,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
20,,CAP-50B,14.9833,-124.2,-4350,,,,124,,0.82,,,102,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
21,,ACA-B5-1,13.1333,-91.95,-6170,,,,24,,0.8,,,20,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
22,,ACA-B6,11.9167,-91.6167,-3600,,,,46,,0.7,,,32,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
23,,ACA-B8,9.8167,-93.0333,-3730,,,,14,,0.74,,,11,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
24,,ACA-B9,12.2333,-98.7333,-3500,,,,40,,0.72,,,29,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
25,,ACA-B11,10.8667,-105.0667,-3300,,,,183,,0.82,,,149,1,1958,Maxwell1958; Bullard_etal1958,Matsubayashi&Uyeda1979,*,BHT
26,,ACA-B11B,10.9,-104.4167,-2950,,,,140,,0.82,,,114,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
27,,ACA-B13,12.2,-111.0667,-3600,,,,48,,0.82,,,39,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
28,,ACA-B13A,20.7333,-115.7,-3910,,,,59,,0.85,,,50,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
29,,GUA-P6,25.0167,-123.0667,-4300,,,,48,,0.96,,,46,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
30,,GUA-P7,24.9,-123.0833,-4200,,,,49,,0.96,,,47,1,1958,Maxwell1958; Bullard_etal1958,Maxwell1958; Bullard_etal1958,*,Bullard probe
32,,Yuzhnaya 1,40.3167,50.6333,,,,,,,,,,33,,,138,135,,
33,,Yuzhnaya 4,40.3167,50.6333,,,,,,,,,,33,,,95,85,,
39,,Nef. Kamn,40.2,50.9,,,,,,,,,,31,,,6,Vanneste_etal2003,,ocean
40,,Nef. Kamn 34,40.2,50.9,,,,,,12,,,,58,,,123,123,,
41,,Nef. Kamn 37,40.2,50.9,,,,,,12,,,,46,,,133,133,,
42,,Nef. Kamn 37,40.2,50.9,,,,,,,,,,43,,,123,123,,
43,,Nef. Kamn 93,40.2,50.9,,,,,,12,,,,89,,,133,133,,
44,,Nef. Kamn 126,40.2,50.9,,,,,,11,,,,32,,,133,123,,
45,,Nef. Kamn 240,40.2,50.9,,,,,,,,,,38,,,123,115,,
78,,AVA 1959,43.9667,34.9833,-2194,,,,,,,,,34,,,85,33,,
83,,CHAIN-13,35.5833,-61.1333,-4590,,4,2,62,,0.8,,,50,1,1961,Reitzel1961,Matsubara1981,,
84,,CHAIN-23,35.5833,-61.25,-4680,,4,2,68,,0.8,,,55,1,1961,Reitzel1961,Reitzel1961,,Bullard probe
84,,QCT24-1,52.5383,-132.3117,-1780,,,,70,,1.06,,,74,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
85,,CHAIN-35,51.3,-29.5833,-3260,,4,2,370,,0.71,,,260,1,1961,Reitzel1961,Reitzel1961,,Bullard probe
85,,QCT25-2,52.5417,-132.3117,-1760,,,,65,,1.06,,,69,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
86,,QCT26-3,52.5483,-132.2983,-1774,,,,53,,1.06,,,56,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
86,,CHAIN-45,53.8833,-24.0833,-3350,,4,2,73,,0.88,,,65,1,1961,Reitzel1961,Reitzel1961,,Bullard probe
87,,V15-3,-0.9833,-38.1667,-4137,,7,2,66,,0.97,,,64,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
87,,QCT29,52.5783,-132.27,-1750,,,,63,,1.06,,,67,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
88,,V15-4,0.2,-39.9,-4111,,13,2,48,1,0.93,,,45,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
88,,QCT30,52.6133,-132.1633,-1925,,,,82,,0.8,,,66,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
89,,V15-5,2.5,-40.9167,-4285,,12,2,63,1,0.92,,,58,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
89,,QCT31,52.405,-131.935,-2040,,,,107,,0.72,,,77,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
90,,V15-6,5.0667,-41.0167,-4544,,11,2,83,1,0.93,,,78,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
90,,QCT32,52.1733,-131.7233,-2103,,,,91,,0.72,,,66,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
91,,V15-7,6.9833,-41.0667,-4636,,13,2,90,1,0.94,,,85,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
91,,QCT33,52.1583,-131.7733,-2048,,,,111,,0.72,,,80,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
92,,V15-8 ,10.75,-41.35,-5002,,7,2,151,1,0.93,,,141,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
92,,QCT35,52.1567,-132.0283,-2846,,,,294,,0.84,,,247,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
93,,V15-10,14.2333,-57.1,-5002,,3,1,73,1,0.92,,,67,1,1962,Gerard_etal1962,Girdler_etal1974,,oceanic borehole
93,,QCT37,51.965,-131.53,-2040,,,,115,,0.9,,,104,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
94,,V15-13,20.8167,-66.4167,-5227,,9,2,68,6,0.93,,,64,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
94,,QCT38,51.95,-131.5467,-2095,,,,142,,0.9,,,128,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
95,,V15-14,23.2333,-66.6,-5605,,10,2,61,,0.93,,,57,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
95,,QCT39,51.8,-131.2533,-1886,,,,109,,0.9,,,98,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
96,,V15-16,21.5667,-67.1,-5115,,11,3,75,,0.93,,,70,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
96,,QCT1-1,52.22,-132.145,-2850,,,,322,,0.84,,,270,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
97,,V15-19,19.8333,-65.8833,-7934,,8,2,52,,0.93,,,49,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
97,,QCT1-2,52.22,-132.1367,-2850,,,,315,,0.84,,,265,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
98,,V15-23,32.5833,-74.4,-4521,,8,4,46,,0.93,,,43,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
98,,QCT2-1,52.2667,-132.0983,-2825,,,,169,,0.85,,,144,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
99,,V15-24,32.7833,-74.8167,-4462,,9,5,47,6,0.93,,,44,1,1962,Gerard_etal1962,Gerard_etal1962,,Ewing probe
99,,QCT2-2,52.2683,-132.0933,-2825,,,,161,,0.83,,,134,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
100,,E1,38.15,142.9667,-1710,,2,2,13,16,0.88,,,11,1,1962,Uyeda_etal1962,Talwani_etal1971,,Ewing probe
100,,QCT2-3,52.2683,-132.09,-2825,,,,166,,0.84,,,139,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
101,,E2,37.9833,143.9833,-7345,,1,2,54,11,0.88,,,48,1,1962,Uyeda_etal1962,Uyeda_etal1962,,Bullard probe
101,,,38.6,49.5,,,,2,,,,,,54,,,115,95,,
101,,QCT3-3,52.3417,-131.985,-1900,,,,85,,0.9,,,77,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
102,,E6,38.2,147.9167,-5631,,2,2,105,,0.82,,,86,1,1962,Uyeda_etal1962,Uyeda_etal1962,,Bullard probe
102,,QCT3-4,52.34,-131.9867,-1900,,,,93,,0.9,,,84,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
103,,LFG-1,33.2167,-118.6,-1300,,2,2,100,,0.75,,,75,1,1962,Foster1962,Ehara1979,,
103,,QCT3-5,52.3333,-131.9883,-1900,,,,124,,0.9,,,111,1,1982,Hyndman_etal1982,Hyndman_etal1982,*,Bullard probe
104,,LFG-2,36.6667,-123.05,-3320,,2,2,110,,0.84,,,92,1,1962,Foster1962,Foster1962,*,Bullard probe
105,,LFG-3,36.65,-123.2667,-3470,,2,2,110,,0.88,,,96,1,1962,Foster1962,Foster1962,*,Bullard probe
106,,LFG-5,36.5667,-123.6833,-3770,,2,2,110,,0.88,,,96,1,1962,Foster1962,Foster1962,*,Bullard probe
107,,LFG-7,44.2833,-138.6,-4220,,2,2,45,,0.92,,,42,1,1962,Foster1962,Foster1962,*,Bullard probe
108,,LFG-8,48.3333,-157.3667,-5220,,2,2,25,,0.84,,,21,1,1962,Foster1962,Foster1962,*,Bullard probe
109,,LFG-11,52.55,-175.15,-3240,,2,2,59,,0.71,,,42,1,1962,Foster1962,Foster1962,*,Bullard probe
110,,LFG-12,54.2833,-176.25,-3740,,2,2,60,,0.63,,,38,1,1962,Foster1962,Foster1962,*,Bullard probe
111,,LFG-13,55.6833,-177.6667,-4160,,2,2,81,,0.67,,,54,1,1962,Foster1962,Foster1962,*,Bullard probe
112,,LFG-14A,56.0833,-176.1667,-3690,,2,2,69,,0.67,,,46,1,1962,Foster1962,Foster1962,*,Bullard probe
113,,LFG-14B,56.2167,-176.3,-3670,,2,2,62,,0.67,,,42,1,1962,Foster1962,Foster1962,*,Bullard probe
114,,LFG-16,53.3833,-163.3333,-4230,,2,2,21,,0.79,,,17,1,1962,Foster1962,Foster1962,*,Bullard probe
115,,LFG-17,54.1333,-156.8667,-5680,,2,2,142,,0.79,,,113,1,1962,Foster1962,Foster1962,*,Bullard probe
116,,LFG-19,57.1833,-149.6333,-2950,,2,2,55,,0.84,,,46,1,1962,Foster1962,Foster1962,*,Bullard probe
117,,LFG-20,57.5667,-147.6167,-4880,,2,2,50,,1,,,50,1,1962,Foster1962,Foster1962,*,Bullard probe
118,,LFG-22,59.0833,-145.0833,-4220,,2,2,92,,1,,,92,1,1962,Foster1962,Foster1962,*,Bullard probe
119,,LFG-24,59.1167,-144.3333,-4000,,2,2,56,,1.13,,,63,1,1962,Foster1962,Foster1962,*,Bullard probe
120,,LFG-25,59.15,-143.65,-3920,,2,2,74,,0.96,,,71,1,1962,Foster1962,Foster1962,*,Bullard probe
121,,LFG-27,59.2333,-142.8333,-2670,,2,2,62,,0.88,,,54,1,1962,Foster1962,Foster1962,*,Bullard probe
122,,LFG-28,58.1833,-139.5167,-2910,,2,2,68,,0.92,,,63,1,1962,Foster1962,Foster1962,*,Bullard probe
123,,LFG-29,57.7,-140.1333,-3310,,2,2,72,,0.75,,,54,1,1962,Foster1962,Foster1962,*,Bullard probe
124,,LFG-30,56.9667,-139.2,-3340,,2,2,92,,1,,,92,1,1962,Foster1962,Foster1962,*,Bullard probe
125,,LFG-35,54.45,-134.6833,-2560,,2,2,186,,0.92,,,172,1,1962,Foster1962,Foster1962,*,Bullard probe
